"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHFL","EQ","07-Feb-2019","        119.35","        120.00","        122.75","        114.55","        115.45","        115.70","        118.46","   18215871","          2157827613.85","     122571","    2331731","         12.80"
"DHFL","EQ","08-Feb-2019","        115.70","        112.90","        116.50","        104.50","        109.00","        109.15","        110.07","   20598446","          2267323825.40","     142648","    2116347","         10.27"
"DHFL","EQ","11-Feb-2019","        109.15","        109.15","        109.65","        103.10","        104.50","        104.85","        105.64","   18177580","          1920333203.75","     120990","    1433727","          7.89"
"DHFL","EQ","12-Feb-2019","        104.85","        104.40","        108.75","        103.50","        106.30","        106.45","        106.33","   12866364","          1368031196.65","      83541","    1235118","          9.60"
"DHFL","EQ","13-Feb-2019","        106.45","        108.00","        112.65","        106.30","        111.60","        111.20","        109.48","   14431475","          1579958322.95","      86434","    2097691","         14.54"
"DHFL","EQ","14-Feb-2019","        111.20","        104.00","        131.35","        103.95","        127.70","        127.95","        120.55","   54153006","          6528103856.65","     394940","    5432957","         10.03"
"DHFL","EQ","15-Feb-2019","        127.95","        128.10","        129.45","        121.00","        122.30","        123.20","        124.73","   19036558","          2374424034.15","     129097","    1740549","          9.14"
"DHFL","EQ","18-Feb-2019","        123.20","        124.90","        135.50","        124.90","        128.90","        128.85","        130.83","   32069129","          4195745868.15","     199313","    2609411","          8.14"
"DHFL","EQ","19-Feb-2019","        128.85","        129.00","        130.50","        125.20","        126.80","        126.75","        127.36","   11188343","          1424977382.85","      68995","     923643","          8.26"
"DHFL","EQ","20-Feb-2019","        126.75","        127.40","        131.30","        126.75","        130.40","        130.35","        129.63","    9380032","          1215951137.00","      60068","    1520310","         16.21"
"DHFL","EQ","21-Feb-2019","        130.35","        131.45","        141.75","        131.45","        137.70","        137.15","        136.97","   23133535","          3168684040.05","     143071","    2374209","         10.26"
"DHFL","EQ","22-Feb-2019","        137.15","        138.00","        142.50","        137.55","        139.20","        139.20","        140.05","   14438762","          2022215985.15","      91114","    1708520","         11.83"
"DHFL","EQ","25-Feb-2019","        139.20","        142.00","        143.40","        135.10","        137.00","        136.75","        138.34","   11792540","          1631367248.20","      71800","    2676852","         22.70"
"DHFL","EQ","26-Feb-2019","        136.75","        130.50","        134.90","        125.45","        130.60","        130.60","        130.17","   22322829","          2905673990.40","     136328","    2677027","         11.99"
"DHFL","EQ","27-Feb-2019","        130.60","        132.10","        136.25","        127.50","        127.70","        128.20","        130.99","   14292134","          1872189913.15","      85819","    2808659","         19.65"
"DHFL","EQ","28-Feb-2019","        128.20","        128.00","        130.45","        126.60","        128.10","        127.40","        128.25","   13919890","          1785225795.00","      58412","    3935364","         28.27"
"DHFL","EQ","01-Mar-2019","        127.40","        127.55","        132.50","        127.40","        128.70","        128.80","        129.61","   13312683","          1725511719.50","      64748","    2850817","         21.41"
"DHFL","EQ","05-Mar-2019","        128.80","        129.40","        135.25","        129.40","        133.55","        133.90","        133.21","   17764598","          2366451492.55","      95973","    4934464","         27.78"
"DHFL","EQ","06-Mar-2019","        133.90","        147.25","        162.30","        147.25","        148.50","        148.75","        152.98","   51106855","          7818232961.50","     271379","    8408485","         16.45"
"DHFL","EQ","07-Mar-2019","        148.75","        150.70","        152.00","        138.20","        141.65","        141.60","        143.63","   30408622","          4367557176.30","     190322","    3879907","         12.76"
"DHFL","EQ","08-Mar-2019","        141.60","        141.60","        144.25","        138.85","        139.90","        139.85","        141.42","   13328310","          1884860942.55","      84705","    2350726","         17.64"
"DHFL","EQ","11-Mar-2019","        139.85","        138.15","        139.30","        130.75","        132.65","        132.80","        133.63","   21197479","          2832647574.40","     165792","    5279057","         24.90"
"DHFL","EQ","12-Mar-2019","        132.80","        133.95","        135.60","        128.40","        128.60","        128.85","        131.46","   18315985","          2407902724.70","     142942","    5086359","         27.77"
"DHFL","EQ","13-Mar-2019","        128.85","        129.45","        131.30","        126.70","        127.70","        127.90","        129.05","   15831063","          2042992312.00","     112318","    2801594","         17.70"
"DHFL","EQ","14-Mar-2019","        127.90","        134.25","        136.70","        130.30","        132.55","        131.90","        132.65","   22993776","          3050098133.65","     135703","    3809058","         16.57"
"DHFL","EQ","15-Mar-2019","        131.90","        132.70","        133.30","        128.40","        132.40","        132.20","        131.09","   15648972","          2051499865.45","      97474","    3044490","         19.45"
"DHFL","EQ","18-Mar-2019","        132.20","        136.00","        140.00","        134.30","        135.85","        135.90","        136.85","   22946837","          3140269574.40","     135002","    4649836","         20.26"
"DHFL","EQ","19-Mar-2019","        135.90","        137.80","        138.00","        134.10","        136.85","        136.20","        135.77","   10116659","          1373506646.85","      79622","    2101394","         20.77"
"DHFL","EQ","20-Mar-2019","        136.20","        138.80","        140.00","        136.40","        137.25","        137.60","        137.95","   13340293","          1840358159.00","      79792","    1967817","         14.75"
"DHFL","EQ","22-Mar-2019","        137.60","        137.60","        137.80","        132.55","        133.55","        133.75","        135.15","    9713258","          1312720840.80","      57269","    2810939","         28.94"
"DHFL","EQ","25-Mar-2019","        133.75","        130.40","        131.30","        127.40","        130.55","        130.25","        129.77","    9086139","          1179119430.40","      56494","    1391795","         15.32"
"DHFL","EQ","26-Mar-2019","        130.25","        129.50","        136.50","        129.50","        136.50","        135.30","        133.48","    9788031","          1306491941.50","      58669","    2407399","         24.60"
"DHFL","EQ","27-Mar-2019","        135.30","        136.95","        140.00","        135.15","        136.50","        136.55","        137.75","   14156526","          1950131749.85","      77758","    3178023","         22.45"
"DHFL","EQ","28-Mar-2019","        136.55","        137.50","        154.80","        137.50","        149.20","        149.50","        148.64","   64167497","          9537982127.95","     361805","    8247232","         12.85"
"DHFL","EQ","29-Mar-2019","        149.50","        149.50","        154.20","        149.00","        149.45","        150.25","        151.56","   20294215","          3075703808.05","     117869","    3154508","         15.54"
"DHFL","EQ","01-Apr-2019","        150.25","        152.05","        153.30","        146.50","        149.25","        149.10","        150.06","   14133347","          2120826112.00","      84416","    1998313","         14.14"
"DHFL","EQ","02-Apr-2019","        149.10","        149.65","        150.10","        142.80","        145.20","        145.00","        146.78","   13496504","          1981027448.45","      73993","    3255980","         24.12"
"DHFL","EQ","03-Apr-2019","        145.00","        145.90","        152.85","        145.05","        148.20","        148.00","        149.39","   23490110","          3509181538.20","     140411","    3064567","         13.05"
"DHFL","EQ","04-Apr-2019","        148.00","        149.00","        150.75","        146.50","        149.00","        148.90","        148.91","   13145366","          1957413472.95","      71410","    1352088","         10.29"
"DHFL","EQ","05-Apr-2019","        148.90","        149.75","        165.50","        149.50","        165.05","        163.50","        160.34","   65545304","         10509374228.20","     354313","    8814868","         13.45"
"DHFL","EQ","08-Apr-2019","        163.50","        166.60","        169.85","        157.30","        161.60","        161.20","        163.95","   35281349","          5784207990.25","     196155","    5674333","         16.08"
"DHFL","EQ","09-Apr-2019","        161.20","        161.60","        168.85","        154.00","        167.05","        167.40","        162.31","   35063243","          5691155660.70","     183956","    3192412","          9.10"
"DHFL","EQ","10-Apr-2019","        167.40","        165.45","        172.90","        164.70","        167.20","        167.65","        169.06","   30986439","          5238631728.80","     165841","    3052699","          9.85"
"DHFL","EQ","11-Apr-2019","        167.65","        167.90","        174.55","        163.15","        171.70","        172.65","        170.30","   37160448","          6328555397.20","     199559","    3475352","          9.35"
"DHFL","EQ","12-Apr-2019","        172.65","        167.90","        173.40","        166.00","        166.90","        167.05","        169.68","   21761781","          3692628973.45","     119094","    3525938","         16.20"
"DHFL","EQ","15-Apr-2019","        167.05","        169.25","        169.95","        166.20","        166.80","        167.20","        168.09","    9298244","          1562979405.05","      59725","    2102142","         22.61"
